wave,flux,err
10565.500259399414,1.9087049722182353e-20,3.3495285421248387e-21
10571.892261505129,2.722392020119344e-20,3.3301960570901178e-21
10578.28426361084,2.7120304500456046e-20,3.2405556898591324e-21
10584.676265716553,2.915752563285847e-20,3.2419666586654447e-21
10591.068267822266,2.4471520499065675e-20,3.223907184031663e-21
10597.46026992798,2.7747260054686885e-20,3.36264696066304e-21
10603.851079940796,3.1511495974837766e-20,3.3257443141035417e-21
10610.243082046509,2.134909939350693e-20,3.2526526283500287e-21
10616.635084152222,2.049751903331888e-20,3.3253619795955487e-21
10623.027086257936,2.227480176108858e-20,3.2388391714506425e-21
10629.419088363647,2.466171985031331e-20,3.2339789988923804e-21
10635.81109046936,3.4900172151582e-20,3.409897712181461e-21
10642.203092575077,2.337092123476737e-20,3.306124305717931e-21
10648.595094680786,2.2063938176705233e-20,3.1920535476755145e-21
10654.9870967865,2.1330513261944268e-20,3.2107296891430505e-21
10661.37909889221,2.2470223883416133e-20,3.24592647918211e-21
10667.76990890503,2.4971694777077605e-20,3.1194716602970957e-21
10674.161911010742,2.392567684623396e-20,3.2611361464477446e-21
10680.553913116451,2.4893798689670663e-20,3.262489279953703e-21
10686.945915222168,3.221752528190202e-20,3.1543861784225382e-21
10693.33791732788,2.1078074867440787e-20,3.1229208850023418e-21
10699.728727340696,2.2640418694128434e-20,3.2292017965034292e-21
10706.120729446411,2.5038772789560008e-20,3.2334480753952194e-21
10712.511539459229,2.5429025496462676e-20,3.171843668363501e-21
10718.90354156494,1.9008413313389045e-20,3.193621910731215e-21
10725.29435157776,2.5436255121865302e-20,3.182850809051132e-21
10731.685161590576,2.5558320731130467e-20,3.160257579480649e-21
10738.077163696287,2.2714308040220374e-20,3.1515245775202352e-21
10744.467973709106,3.3545287547831253e-20,3.2116841923793165e-21
10750.858783721924,3.388998510872916e-20,3.152693598412025e-21
10757.24959373474,2.74754785834692e-20,3.1621082871949165e-21
10763.641595840454,2.3559726578029504e-20,3.130034359306565e-21
10770.032405853271,2.879169196513079e-20,3.1137005400636484e-21
10776.423215866089,2.9081489117345024e-20,3.210981890781263e-21
10782.814025878906,3.214412547809535e-20,3.147999397927831e-21
10789.20602798462,1.7576254575248463e-20,3.0347306075520936e-21
10795.596837997437,2.2491328074438218e-20,3.094060965789016e-21
10801.987648010254,2.2784138005276358e-20,3.091671385634253e-21
10808.378458023071,2.968691802265621e-20,3.0276940717256356e-21
10814.770460128782,2.6122175540097373e-20,3.003190022137564e-21
10821.161270141602,2.489781830996158e-20,3.0307356570657022e-21
10827.55208015442,2.259831791655425e-20,3.374052339235191e-21
10833.942890167236,2.8219496151819864e-20,3.91119019943651e-21
10840.333700180054,2.9189030743355804e-20,3.7292130583521855e-21
10846.724510192871,2.393287432568342e-20,3.3387282434158097e-21
10853.116512298582,2.815892720464271e-20,3.183568107408863e-21
10859.5073223114,2.9596403253068164e-20,3.2417155727598887e-21
10865.89813232422,2.870429337140688e-20,3.1847175703929345e-21
10872.288942337036,2.346736863275532e-20,2.983550041058493e-21
10878.679752349854,2.609805899278973e-20,2.9971826842977455e-21
10885.07056236267,2.1835245551053205e-20,2.9759345458682378e-21
10891.46137237549,2.3703614636727118e-20,2.9836291051847547e-21
10897.852182388306,2.3808524926671583e-20,2.9733125380341476e-21
10904.242992401125,2.2976385303578008e-20,2.9944807214646213e-21
10910.63380241394,2.4280382022322865e-20,3.007732860715076e-21
10917.024612426758,2.2605736814143724e-20,3.1605300110473533e-21
10923.415422439575,1.5563202835339885e-20,3.457594854974474e-21
10929.911136627195,2.4756240264779138e-20,3.144376815760358e-21
10936.301946640016,2.3596180444936295e-20,2.9289953729458877e-21
10942.692756652832,1.8150345417109643e-20,2.8723499886087487e-21
